"ID","Length","Denticles","Three_phase_assignment"
"SL_PR_PR8A_10",411.012137068686,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_11",539.705798292929,9,"Phase 3: likely adult"
"SL_PR_PR8A_12",451.916301605535,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_13",302.233875389046,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_14",394.689325595529,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_15",419.166205711852,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_2",382.148276428752,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_3",394.451996300314,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_4",362.087527843704,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_5",476.580225675272,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_6",473.61899778354,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_7",385.095740379423,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_8",331.156723311749,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_9",308.521947390718,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_1",351.92451121561,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_10",392.285644593583,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_11",446.355413861325,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_12",366.06928710998,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_13",476.9390484169,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_14",428.25100791621,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_15",518.3154022692,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_16",338.455921744178,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_17",315.991928758883,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_18",392.789964729044,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_2",564.618864703999,9,"Phase 3: likely adult"
"SL_PR_PR8B_3",383.880413350598,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_4",360.585093442479,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_5",315.824825702601,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_6",349.184691791929,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_7",420.469494304971,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_8",456.150626825765,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR8B_9",454.101339472543,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_1",504.431089049653,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_10",586.131616513609,12,"Phase 3: likely adult"
"SL_PR_PR8C_11",469.971457470614,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_12",474.850059298931,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_13",413.91606624003,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_2",558.737833070958,8,"Phase 3: likely adult"
"SL_PR_PR8C_3",522.508546275221,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_4",423.852241163159,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_5",357.267451036405,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_6",475.623290468178,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_7",408.507968401137,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_8",488.231949242871,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8C_9",372.989794789285,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_1",434.625688598178,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_10",304.484482115343,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_11",371.861248912487,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_2",369.957199941194,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_3",479.82708502944,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_4",441.019255234549,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_5",459.574050275323,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_6",406.547168438789,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_7",415.929173269763,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_8",396.825125933499,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR8D_9",502.860094029459,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_1",337.373989395849,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_2",583.042573890015,9,"Phase 3: likely adult"
"SL_PR_PR8_3",385.241815278753,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_4",377.88784728795,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_5",437.386946562853,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_6",465.69147837573,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_7",397.99752236581,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_8",472.634337062606,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8_9",391.593753278106,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_1",363.050611471813,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_10",602.421441465191,10,"Phase 3: likely adult"
"SL_PR_PR9A_11",425.273372888407,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_12",399.31214170202,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_13",447.961831612633,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_14",477.877595813293,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_15",480.150000758997,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_16",365.478623158668,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_17",473.931178563641,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_18",605.870019758009,8,"Phase 3: likely adult"
"SL_PR_PR9A_19",562.264380448347,9,"Phase 3: likely adult"
"SL_PR_PR9A_2",397.195010589677,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_20",449.2394229998,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_21",329.877217568567,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_22",391.753186907662,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_3",404.67144897974,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_4",543.784940880277,8,"Phase 3: likely adult"
"SL_PR_PR9A_5",504.034822861643,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_6",427.097789103897,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_7",531.546500546501,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_8",404.569011103366,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9A_9",383.516225941453,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9B_1",304.726159860339,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9B_2",318.495018902104,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR9B_3",383.383155231769,5,"Phase 2: late juvenile / subadult"
"SL_PR_PR9B_4",479.218410887347,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9B_5",484.407298920348,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9B_6",426.016555014401,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9B_7",359.126432,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_1",341.389056530859,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_10",429.692820117169,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_11",357.137968909622,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_12",341.476460440896,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_13",458.799488102337,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_14",391.759124609851,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_15",483.82002829603,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_16",303.294235897035,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_17",302.393753597608,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_18",316.563875148118,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_19",335.136974960083,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_2",317.768227530888,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_20",310.769370321364,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_21",407.495592506265,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_22",452.162338984417,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_23",370.420475413498,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_24",437.76356773807,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_25",468.139470612907,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_26",400.278157678476,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_27",376.070312922544,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_28",352.601915651192,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_29",382.654981757276,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_3",376.982538442411,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_4",376.288905089224,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_5",382.763894507999,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_6",447.374128756501,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_7",387.777131297931,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_8",429.61721091275,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR9C_9",474.829540907865,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_1",432.389483437275,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_10",358.161504751436,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_2",296.882642551011,8,"Phase 1: early juvenile"
"SL_PR_PR9_3",330.29436684812,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_4",332.048099763374,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_5",439.318943196051,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_6",365.154369655281,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_7",404.851605018146,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_8",363.345471880404,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR9_9",424.996072937257,9,"Phase 2: late juvenile / subadult"
"SP_HE_HE-14_1",381.823158968005,8,"Phase 2: late juvenile / subadult"
"SP_HE_HE-14_12",546.355462909904,8,"Phase 3: likely adult"
"SP_HE_HE-14_13",459.186441721513,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-14_14",505.936876689823,8,"Phase 2: late juvenile / subadult"
"SP_HE_HE-14_15",437.26649922452,8,"Phase 2: late juvenile / subadult"
"SP_HE_HE-14_2",420.38065684576,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-14_3",541.398135483971,8,"Phase 3: likely adult"
"SP_HE_HE-14_5",754.995277212206,10,"Phase 3: likely adult"
"SP_HE_HE-14_6",368.619163612022,7,"Phase 2: late juvenile / subadult"
"SP_HE_HE-14_8",252.783641936763,5,"Phase 1: early juvenile"
"SP_HE_HE-14_9",299.018525811502,6,"Phase 2: late juvenile / subadult"
